担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,参考情報, ,NGワード数,NGワード一覧,再履修
森,22023690,事務室の掲示板で見た飛び級制度で３年で卒業した。その後大学院に進学した。,商社として重要なことは、他の国に出張に行って話す。,一日に１８０社くらい見に行って内定をもらった。色々な説明会に行くことが大切。,心に余裕を持つことが大切。,反省して次に進むことが大切。, , , ,,, , ,0,, 
森,22023697,人との関わりをモチベーションにする,自分と相手のことを知ることが大切,くよくよしないで過去にこのようなことがあったから今があると思える,心のcapacityは大切,失敗した時に自分をリフレッシュさせる方法を持っておいた方が良い, , , ,,, , ,0,, 
森,22023700,就職活動で180社回り、自分がやっぱり商社に向いていると確認したこと。,毎日の自身の変化が自覚できるほど成長していたこと。,仕事をしていて怖いのは、体の余裕をなくすことではなく、心の余裕をなくすこと。,自分のことも相手のことも知って違いを理解し、互いにとって良いことを考える。,前向きな塞翁が馬。失敗しても反省したらすぐに立ち上がって前に進む。何がプラスにつながるかわからない。, , , ,,, , ,0,, 
森,22023704,関わってくれている人たちが喜んでくれることにやりがいを感じる。,自分のことを知ることと相手のことを知ることが大事なこと。,死ぬほどやったからと言っていい案が出るわけではない。,人間としてこれからも成長していかなければならない。,前向きな塞翁が馬, , , ,,, , ,0,, 
森,22023706,商社,SDGｓ,環境ビジネス,インターンシップ,トレード, , , ,,, , ,0,, 
森,22023707,くよくよしすぎない,あの別れがあったから今の出会いがある,留学,ポジティブに,外国の人から学ぶこと, , , ,,, , ,0,, 
森,22023708,対話,人間万事塞翁が馬,真理なんぢら自由を得とすべし,商売,「自分のスープ」, , , ,,, , ,0,, 
森,22023710,人間万事塞翁が馬,悪いことは長くは続かない。そして力になる。,商売は社会のためにならないと続かない。,心に余裕をもつこと。,掲示板をみる。, , , ,,, , ,0,, 
森,22023711,大学からの情報はしっかり確認しよう。,どんなに忙しくても心の余裕はきちんと持とう。,前向きな塞翁が馬。,結局人とか社会のためにならない商売は続かない。,しんどいことも自分の力になるけど明らかに嫌だなと思うことは取り除いてもいい。, , , ,,, , ,0,, 
森,22023712,失敗してもくよくよしすぎず、反省をして前を向いて進むことの大切さ,プラスチックを食品などの入れ物に使うことでフードロスに繋がること。,奉仕のための練達のなかの「練達」の重要性,できるのならば留学の経験をした方がいいということ。,国際交流でも横とのつながりを大切にすること。, , , ,,, , ,0,, 
森,22023713,関学のモットー「MasteryforService奉仕のための練達」を大切に,商売は社会のためにならないと続かない,いろんなことに前向きに精一杯取り組む,一瞬の善意のためではなく長い目線で見る,奉仕を意識しながら自分をそして仕事を磨く, , , ,,, , ,0,, 
森,22023714,商社で働く魅力いろんなことを見ながら商売を組み立てられる全体を俯瞰しながらアイデアを出せる,コンサルは相手の会社に入る。お客様のためにできる,仕事の失敗の改善法は相手のことを見ること,失敗は自分自身に身をつけるもの,商売は社会のためにならないと大きくならない, , , ,,, , ,0,, 
森,22023716,忙しくても心の余裕を失ってはいけないことと、もしそうなってしまっても自覚することが大事と学びました。,学校からの発信を絶対に見逃さないようにしようと思いました。,何歳になってもスキルアップをしようとする姿勢を見て、私も見習おうと思いました。,嫌なことがあったとしても次の良いことに繋がると信じて諦めずに行動する大切さを学びました。,自分と相手は違うという前提で対話をし、信頼され、人と人との関わりを大事にすることを学びました。, , , ,,, , ,0,, 
森,22023719,情報を常に収集する,指摘をされてからは反省し、改める,相手をよく見て観察する,人生なにが起こるかわからないから目先の出来事で落胆せず前向きに捉える,忙しいと口に出さない, , , ,,, , ,0,, 
森,22023726,自分から情報を入手しに行く,嫌な事があっても前向きに捉えて次に活かす,バックグラウンドの違う人と話をする時は、まず自分の事を理解しておく,自分が楽しいと思える仕事をする,商売をする時は常にマスタリーフォーサービスの精神でいる, , , ,,, , ,0,, 
森,22023728,前向きな塞翁が馬,チャンスは自分で掴みに行かなければならない,時には休憩も大事,対話が大事,諦めないことが成功に繋がる, , , ,,, , ,0,, 
森,22023731,商社の魅力は色々な領域の中で考えを出し組み立て世界的に商売を発展させている事だと学んだ。,事務室の前に貼ってある紙を見ていなかったら飛び級制度を使えなかった事から情報収集の大切さを学んだ。,商社は研修にお金をかけていて人を育てるのに力を入れていると学んだ。,小林さんが発言していた「前向きな塞翁が馬」からクヨクヨせず前に進む事で人として成長していくと学んだ。,仕事をする上で心の余裕が大切な事から適度な休憩、気分転換が大切だと学んだ。, , , ,,, , ,0,, 
森,22023732,たとえ小さな事柄であってもそれが積み重なれば大きくなっていくということ,仕事の場面において背景の違う人と話すような対話を通じて信頼関係を作り上げていくこと,周りのことが見えなくなってしまう可能性があるのでどんなに忙しくても心の余裕を持つということ,様々な体験や新たな体験をすることで社会人としての在り方や世の中のこと知る,もし失敗してしまったとしてもいつまでも引きづってしまうのではなく前向きに捉えそれと向き合うこと, , , ,,, , ,0,, 
森,22023733,大学から発信されているたくさんの情報を常にチェックして取捨選択し自分の将来の可能性を狭めないこと。,人と対話をする際心に余裕を持つように心がけることで相手の立場に立って言葉を選ぶことができること。,忙しすぎると新しく良いアイディアが生まれず仕事がはかどらないので休憩の時間を適度にとるのが大切だ。,上手くいかなかったり不測の事態が起こったりした時独自のリフレッシュ方法を持っていると立ち直り易い。,たとえ失敗しても考え方を前向きにすることで物事が好転したり早く起き上がることができること。, , , ,,, , ,0,, 
森,22023734,自分にとって宝になるような情報が埋もれている,自分たちは見過ごしがちである,商社はコンサルと似ている,知識を蓄えること,霧中になってしまい心の余裕がない。, , , ,,, , ,0,, 
森,22023736,海外,商売,対話,周りを見る,真理はなんぢらに自由を得さすべし, , , ,,, , ,0,, 
森,22023737,大学からの情報を逃さない。膨大な情報の中には自分の未来につながる手がかりがある。,自分に忙しいのに精一杯で周りが見えなくなることがあるが、この事実を自覚していることが大事。,忙しいという漢字は、心を亡くすと書く。,好きなことを仕事に、やりたいことを仕事にすることが大事。,会話と対話の違いを意識する。たくさんの人と対話する能力が必要とされる。, , , ,,, , ,0,, 
森,22023738,心のキャパシティを持っていないといけない。またそれを持っていることがチームで連携するということ。,自分自身の特性を自覚をしているのかしていないのかということが人間性として現れてくる。,外の目を持って自分を客観的に見て気づくことが大切。,奉仕をしながら自分自身を鍛え上げていくことで社会にも還元することができる。,善意は役立たないが仕組みに答えがあり善意を一方通行ではなく循環させることが大切。, , , ,,, , ,0,, 
森,22023744,前向きな塞翁が馬,対話と会話の違い,自分に心の余裕があるかどうか把握すること,世界にでたときにいかに日本人がマイノリティであるかということ,商売は社会のためにならないとつづかない, , , ,,, , ,0,, 
森,22023748,掲示板で知った飛び級制度で大学三年から大学院に進学しより専門的なことを学び、計五年で大学を卒業した。,心の余裕を持つことで周りの人のことを見れるようになり、仕事がまわる。多忙な中で成長を感じれる。,実際に他国を訪問し対話すると互いを分かり合えるため仕事への理解をも得られ、商社では大切なことである。,前向きな塞翁が馬。何が良くて何が悪いのかわからないがくよくよせず反省し次に進むと良い結果に繋がる。,就活の遅れを取り戻すため180社ほど見て回り現在の会社に内定を貰った。色々な職種の説明会に行くべき。, , , ,,, , ,0,, 
森,22023750,商売は社会のためにならないと儲かり続けられず、一時的なものとなる。,嫌なことは長くは続かない。その嫌なことも自分の味を美味しくさせるものとなる。,忙しい時は心の余裕がなくなり周りが見えなくなる。外からの視点を持って自分の状態に気付けるようにする。,悩みすぎないで、自分のリフレッシュの方法を知っておく。,"MasteryforService,社会のために自分と仕事を鍛える", , , ,,, , ,0,, 
森,22023754,環境ビジネスプラスチックのいいところを残して商売している。,環境に配慮したいろいろな素材のトレードを新しく作る。環境に関わること全般してる。,プラスチックを環境に配慮したものに切り替わる。1000万トンの商売が変わるとき新しい商売ができる。,関わる人にモチベーションを感じてる。,くよくよせず反省はしてすぐ立ち上がって前に進む。, , , ,,, , ,0,, 
森,22023755,環境ビジネス,貿易実務,三国貿易,マネジメント,ファイナンス, , , ,,, , ,0,, 
森,22023757,嫌なことがあっても諦めない,嫌なことは成功に近づくかもしれない,忙しいときほど自分を客観的にみる,前向きな塞翁が馬,語学の勉強, , , ,,, , ,0,, 
森,22023758,仕事は楽しい,コンビニの24時間営業はすごい,就活の時に180社ぐらい見た,飛び級,博士号を取ろうと思ったが社会学部なのに社会を見ていないのは良くないと思った, , , ,,, , ,0,, 
森,22023759,商社において10年以上深掘りし、積んできたものを次に活かしクリエイティブに作り上げることができたこと,人の気持ちに寄り添い社会に生きていくことが大切ということ,就職するために短い期間で180支社以上の説明会に行き、見比べて吟味すること,自分が成長するだけでなく夢中になって仕事をするのは良いことだが心の余裕をもつことが大事なこと,自分が考えていること以上に良いこと悪いことが起こるので精一杯人生を楽しみ自分の味を美味しくすること, , , ,,, , ,0,, 
森,22023761,暗黙知として社会人としての在り方働くとはどういうことかバイトをして社会経験を知っていくことが大切,伊藤忠商事の教育が手厚く研修などが多い,どんなに忙しくても心のキャパシティーをある程度持っておく事。そうしていくことがチームの連携として大切,休憩が大事で自分なりの気分転換を持っておくのが大事,前向きな塞翁が馬。物事は何が良くて悪いかわからない中で失敗してもくよくよせずに反省していくことが大事, , , ,,, , ,0,, 
森,22023763,大学が発信している情報を見過ごさないようチェックする,忙しくなると周りが見えなくなるので心の余裕を持つ,自分のことを知り、相手のことを知る,前向きな塞翁が馬,失敗したとしてもくよくよせず反省してすぐに立ち上がる, , , ,,, , ,0,, 
森,22023764,良い所を使いながら悪い所を改善する,全体を俯瞰しながら色々なアイデアを自分(チーム)で出しながら現実化していく,関わっている人が喜んでくれる事が自分にとってのモチベーション,自分のことを知り相手のことを知りその上でお互いにとって何が良いのかを一緒に考えて開発する,反省して立ち上がって次に進んでいく, , , ,,, , ,0,, 
森,22023768,前向きな塞翁が馬,自分と相手は違う,人との交流は心と心の関わり,商売は社会の役に立たない限り継続できない,自分、そして自分とはバックグラウンドが異なる相手のことを知ることが大事, , , ,,, , ,0,, 
森,22023771,嫌な事は長くは続かない。,嫌な事は自分の味を美味しくする。,心の余裕を持っていないとダメ。,関わった人たちの喜んでいる姿を見るのが仕事のモチベーション。,相手のことと自分のことを知ることが大事。, , , ,,, , ,0,, 
森,22023775,モットー人間万事塞翁が馬(幸運か不運かは簡単に判断しずらい）,就職就職活動においてたくさんの会社を見に行くのは大事,人との関わりかかわってくれる人が喜んでくれることをモチベーションに仕事を行っている,知る相手のことも自分のこともしっかり知る努力をしてそれに合うようにすることは大事相手と自分は違う,気分転換仕事がいやになったりしたときは自分に合った気分転換の方法で気分転換することは大事, , , ,,, , ,0,, 
森,22023783,心の余裕,環境ビジネス,前向きな塞翁が馬,語学研修,幼少の国際経験, , , ,,, , ,0,, 
森,22023796,どんなに仕事が忙しくても、心に余裕をもって行動することを心掛けることが大事にしている。,何が自分の役に立つかわからないけど、日々学校の連絡、掲示板等どんな情報でも受け入れていくことが大事。,商社で働くのには、お金を稼いだりするのに罪悪感を感じない人が向いている。,学生時代、いやなことがあっても自分の味をおいしくするスパイスだと思ってやってみる。,我慢できないようなことは、シチューの中から一つ具材を外しても変わらないのと同じで、外しても構わない。, , , ,,, , ,0,, 
森,22023802,自分が忙しい時こそ、自分を見失っているかもしれないと振り返ってみる。,自分を見失っているのかいないのかを自覚する力。,いろんな事業を展開ている会社を一日に何件も回って、一番やりたい会社に入った。,バイト経験により社会人の在り方を学んだ。,一つのことに集中せずに、気分転換などを適度にしたほうがいいアイデアが思いつく。, , , ,,, , ,0,, 
森,22023805,商売売り込むのが好きな人はお勧め。商売に向き不向きなどない。,英語力貿易会社は英語が必須英語は学生時代から勉強するべし。,学生時代勉強ばかりしてはいけない。学生時代に味わえる遊びも経験すべし。,就職活動気になる会社は詳しく調べたり、インターンシップに行くべき。,貿易会社ヨーロッパ、アメリカの国ともかかわりが深く、英語経験が試される。, , , ,,, , ,0,, 
森,23019209,どんなに忙しくても心のキャパシティーを持っておくことが大切,自分とバックグラウンドが違う人と出会う時、まずは自分を知ることと、そして相手を知ること,前向きな塞翁が馬、良くないと思われることも反省はするがクヨクヨせずにすぐ立ち上がって走ることが大切,お客様に喜んでもらい、社会も良くなるような仕組みじゃないと続かない,奉仕のための練達は一生練達, , , ,,, , ,0,, 
森,23019569,商売,自覚,情報,気分転換,奉仕のための練達, , , ,,, , ,0,, 
森,23020002,商社の魅力は語学の教育が手厚いこと,就職活動では150社も回った,世界と仕事をする上で大切なことは相手を知るために自分を知ること,学生時代にもう一度戻るならまた商社を選ぶかも,大変なこともあるが自分を美味しくするスープだと思うことが大事, , , ,,, , ,0,, 
森,23020005,自分を知る,相手を知る,トレードのボリュームを大きくしないと商売は成り立たない,現場に行くことが商売の基本,「前向きな」塞翁が馬, , , ,,, , ,0,, 
森,23020025,仕事において対話が必要とされている,海外での経験は自分の領域を広げ、新しい価値観を生む,忙しくても心のキャパシティを持つこと,人と関わることをモチベーションとすること,自分のことも相手のことも知る事が大切, , , ,,, , ,0,, 
森,23020052,自分が主体になり、お客様と商品を創ることが楽しく、それが社会のためになっていたら良い。,仕事を覚えることは大変だが、自分の成長や変化を感じることができ楽しかった。,色々な人と関わる必要があるが、仕事でお金を稼ぐのが目的だからお金を稼ぐ野心がある人でないといけない。,気分転換をできるものが重要である。,人間的に成長することと、マネージメントに関わる知識は重要である。, , , ,,, , ,0,,再履修
森,23020159,どれが宝なのか情報をキャッチする,前向きな塞翁が馬,自分の忙しさを自覚する,対話と会話,真理はなんぢに自由を得さすべし, , , ,,, , ,0,,再履修
森,23020182,忙しくても心の余裕を持つこと,客観的に自分を見ることが大切,自分のことを知ることと相手のことを知ること両方が重要である,前向きな塞翁が馬,社会に出て重要視されていることは会話よりも対話, , , ,,, , ,0,, 
森,23020289,前向きな塞翁が馬,外国人と交流することで自分の価値観や世界が広がる,忙しいとは心を亡くすこと,善意だけではなく仕組みを作ること,奉仕のための、自分磨き, , , ,,, , ,0,,再履修
森,23020320,社会のためにならないものは続かない,自分が未熟だと商売が成り立たない,善意は役立たない仕組みに答えがある,一瞬悩んだとしても悩みすぎない,嫌なことは長く続かない, , , ,,, , ,0,, 
森,23020331,心の余裕を無くさない,相手の人のことを見る,自分のことを知る,相手のことを知る,前向きな塞翁が馬, , , ,,, , ,0,, 
森,23020340,昔は掲示板であったが今はkwicになっている。そこで情報が絶えずくるが見逃さないことが重要である。,忙しいとは心を亡くすと書く。この言葉の通り心を無くしてしまう。しかしこれらを自覚していることが大事。,会話する能力も非常に重要となってくるが対話する能力が必要となってくる。,様々な事象に向き合うことが重要である。,前向きな塞翁が馬という気持ちで何か悪いことがあっても反省をしつつ、前向きな気持ちが大事である。, , , ,,, , ,0,,再履修
森,23020380,商社では様々な業界を跨ぐから総合的に考えられる（多くの業界やお客様と接する仕事に興味があるから）。,飛び級に関する情報は学部事務室の掲示板を見て知った（情報をキャッチすることの大切さを学んだから）。,自分と相手を知り、お互いにとって何がいいかを一緒に考える形が大事（一方的な商売は良くないと学んだ）。,商社は幅広い人がいるべきなので商売が好きなら向き不向きはない（どんな仕事にも挑戦する勇気を持てた）。,自分や仕事を磨いて人のためになろうとする、奉仕が大事（誰かのため、という意識をもとうと思った）。, , , ,,, , ,0,, 
森,23020385,総合商社には様々な部署があり、横断的な仕事が多く存在する。,自分にとって利益となる情報を逃さないように見つける。,忙しさは心の余裕をなくす。,肖像権ビジネスの礎を作ったのはユダヤ人である。,予測していないことからの自分なりの回復方法を見つけ出す。, , , ,,, , ,0,,再履修
森,23020389,前向きな塞翁が馬であろう！！挫折から学ぶべきところは学んで走り出そう！,社会学部は社会を網羅して学べる。その分、ゼミや卒論は特化したものになる。,商社は何でも屋さんといえるが、キャリアステップとしては人それぞれで専門的や網羅的もある。,人によって成功の定義は違う。だから自分が納得するまでやり続けることが大事,心に余裕を持てるように自己管理をするべし。, , , ,,, , ,0,,再履修
森,23020429,伊藤忠は風通しが良く、理不尽なことが少ない。自分が発信していき、認めてもらえるとやりがいがある。,商社は自分でビジネスを組んでいき、商品を選んでいく。会社に従うのではなく、自発的な要素が多い。,どんなに忙しくても心の余裕が大切である。仲間の存在というのは大きい。,仕事のモチベーションは関わってくれる人が喜んでくれるということ。人との関わりが楽しい。,仕事は何が良くて何が悪いか分からないから常に前向きに取り組む。クヨクヨせずポジティブに取り組む。, , , ,,, , ,0,,再履修
森,23020432,逆算しながら行動してみる。,できないことがあっても、できるようになれば良い。,人への心配りを忘れないこと,どこまでも成長し続けようとする姿勢（過去の自分を恥じないために）,多角的な視野で考え、アイデアを生み出すこと, , , ,,, , ,0,,再履修
森,23020473,前向きな塞翁が馬,精一杯楽しむ,心の余裕,暗黙知,正しく物事を捉える, , , ,,, , ,0,, 
森,23020529,大学からの情報発信をキャッチして、自分のためになることに敏感なっておく。,興味のないこと、嫌なこと、大変なことだとしても、将来の自分をつくる要素に変わると前向きな姿勢でいる。,会話ではなく対話をしていく。そうして自分の世界を広げていく。,社会のためになること、人を幸せに出来るものでないと商売は成り立たない。,仕事は人と人の関わりの上で成り立つものであり周りへの配慮を忘れてはいけない。, , , ,,, , ,0,, 
森,23020538,どんなに忙しくても心の余裕を持つ,休憩も大事,持続可能な商売,死ぬまで自分を練達し続ける,前向きが塞翁が馬, , , ,,, , ,0,, 
森,23020602,何事も前向きにとらえること。,就職活動をする上で自分に合った業界を見極める必要があると感じた。,学校の制度や情報にしっかりと目を通しておくこと。,忙しい時でも、心に余裕をもつこと。,言葉の速度や言い方１つで、相手の受け取り方は大きく変わる。, , , ,,, , ,0,,再履修
森,23020626,環境ビジネス（1万トン以上のプラスチックを環境配慮製品に生まれ変わらせる）,飛び級して関学社会学部の院へ（萩野ゼミ）大学から流れてくる情報は積極的にキャッチしておくべし,心を亡くすと書いて忙しい,失敗は自分自身をおいしくするものだ,前向きな塞翁が馬, , , ,,, , ,0,, 
森,23020631,前向きな塞翁が馬,会話と対話の区別,調子をあげるためのリフレッシュ方法,壁にぶつかった時の考え方,何事においても準備が肝心であること, , , ,,, , ,0,,再履修
森,23020636,一瞬悩んだとしても悩みすぎないこと,死ぬほど集中してもいいアイディアは浮かんでこないから休憩がすごく大事,前向きな塞翁が馬を大切に生きている,自分を磨いて仕事を磨いてそれ自体が社会にとって良いものになると言う考え方が奉仕のための練達だと考える,嫌なことが起きても長くは続かないから、そのこと自体を前向きに考える, , , ,,, , ,0,,再履修
森,23020648,自覚,外の目,対話,商売,信頼関係, , , ,,, , ,0,, 
森,23021009,忙しいと周りが見えなくなる,自分にとって必要な情報を学校からも取り入れる。,反省はするけれども失敗について考えすぎない,相手のことをよく知るのが大切,対話をしっかりとする, , , ,,, , ,0,,再履修
森,23021012,どんなに忙しくても心の余裕がないと仕事は上手くいかない。,関わってくる人が喜んでくれることがモチベーションになる。,自分と生い立ちが違う人と関わるので、自分のことを知ることも相手のことも知ることが大切である。,商社に向き不向きはない。同じような人が集まり偏った考えにならないために会社として色々な人がいるべき。,前向きな最奥が馬物事は何が良くて何が悪いか分からないため、進んでいくことで上手くいくかもしれない。, , , ,,, , ,0,, 
森,23021022,大学が発信している情報のチェック,心の余裕,自分・相手のことを知る,前向きな塞翁が馬,嫌なことは自分の力になる, , , ,,, , ,0,, 
森,23021027,変化は新たなビジネスを生む。,意識して情報収集をする。,相手の事をよく見て心に余裕を持つ。,現場に行き相手と自分の事を知る事が商売の基本。,前向きな塞翁が馬。, , , ,,, , ,0,,再履修
森,23021035,貿易実務,人のネットワーク,国際経験,休憩,悪いことは長くは続かない, , , ,,, , ,0,, 
森,23021045,環境ビジネスは部署をまたいで連携しないといけない,商社は人を育てるということにかなり力を入れているので途中でやめるともったいない,人と人とが暮らして社会をつくるとはどういうことなのかと思ったので社会学部にした,どんなに忙しくても心のキャパシティは持っておいたほうがいい,反省はしつつもすぐに前を向くことが後々の自分の成長につながる。前向きな塞翁が馬, , , ,,, , ,0,,再履修
森,23021048,SDGs,プラスチックリサイクル,忙しそうにしない,心の余裕,企業の社会的役割, , , ,,, , ,0,, 
森,23021052,心の余裕を持つことが大事であるということ。,情報をキャッチすることまたその中から大切なものを見分けること。,忙しいということは言わずに何事も前向き（ポジティブ）に捉えること。,会話ではなく対話をすること。量より質ということ。,「人間万事塞翁が馬」ということを頭に入れておくこと。, , , ,,, , ,0,, 
森,23021057,自分が主体となって商売をする,お客様のためにする仕事は社会のためにもなる,体の余裕よりも心の余裕を持つ,失敗したことは反省して前向きに考える,くよくよしないで立ち上がるといいことが待っている, , , ,,, , ,0,, 
森,23021059,練達,対話,商売,掲示板,学習, , , ,,, , ,0,, 
森,23021069,おいしいスープは意外なものが入っているかあらおいしいのであるから、困難も前向きにとらえる,忙しいといわない,丁寧な言い方で人に頼む,困難も向き合えば成功する,自分で情報をつかみに行く, , , ,,, , ,0,, 
森,23021074,商社について,気分転換の方法を持つ,前向きな塞翁が馬,自分のことを知る、相手のことを知ったうえでお互いにとって何がいいか考える,どんなに忙しくても心のキャパシティを持つ、チームの連帯, , , ,,, , ,0,, 
森,23021075,自分にとって重要になるかもしれない情報を見逃さない,商いの楽しさ,忙しさで心を失わない,前向きな塞翁が馬,スープにちょっと違うスパイスを加えるように、自分に起こることを成長の一部として前向きにとらえる, , , ,,, , ,0,,再履修
森,23021087,商売,持続的,心と心の対話,楽しむ,人が好き, , , ,,, , ,0,, 
森,23021088,情報収集,忙しい時にこそ周りを見る。,自覚,社会のため,人生において状況が悪い時は、自分自身を美味しくしている期間。, , , ,,, , ,0,, 
森,23021098,伊藤商事,オーガナイザー,三田キャンパス,一神教,前向きな採用ガンマ, , , ,,, , ,0,, 
森,23021115,商社の教育や研究は手厚い,経済も社会の一部なので社会学部は社会全体を見れる,自分が変化していくのが楽しかった,やりがいは人が喜んでくれる時,常に前向きでくよくよしない, , , ,,, , ,0,, 
森,23021152,興味のある企業で働く人に話を伺う,全体間の中で考える,海外では日本では知れないトレードの経験を積める,バラバラのものに我々が入ると面白いものができるかもしれない,商社ではグローバルに活躍できる, , , ,,, , ,0,, 
森,23021156,大学が発信している情報にはアンテナを張っておく。,忙しくなればなるほど周りが見えなくなる。,仕事の効率を下げる要因になるかもしれないので、机は綺麗にしておく。,上手くいかないことがあったとしても悩みすぎない。,良いことが起きたら楽しんで、良くないことが起きてもそれは自分のために起こっているのだと前向きに捉える, , , ,,, , ,0,, 
森,23021159,自分にとって重要であると考えている情報をしっかりと掴む。,忙しい時でも心に余裕を持つようにする。,多くの分野背景が違う人と言葉を交わすことの重要性。,予想外のことがおき落ち込んだ時でも悩みすぎずにリフレッシュする。,何かを成し遂げている人は最後まで諦めない。, , , ,,, , ,0,,再履修
森,23021161,商社の魅力は社会のオーガナイザーのような立ち位置から物事を見ることが出来ること。,社会学部を選んだ理由は社会の事を統括的に学ぶことが出来るから。,コンビニバイトでは社会経験として今に役立っている。,モチベーションの保ち方は関わる人の喜んでいる姿。,社会学部の授業は今でも受けたいほど面白い授業内容である。, , , ,,, , ,0,, 
森,23021173,人間万事塞翁が馬,対話力を磨く,信頼関係を築いていけるか,自分と相手は違うということを認識する,自分自身の気分転換の仕方をもつ, , , ,,, , ,0,, 
森,23021177,人を育てる環境が非常に整っており、さまざまな経験を積める,大学からの情報は記さず見ておく必要がある。,多くの会社のインターンや説明会へ行き様々な分野に目を通すと自分のやりたいことが見えてくる。,何事も反省し、前を向くことが大事,どんな人とも仕事ができるために文化を理解することが大事。, , , ,,, , ,0,, 
森,23021189,コンビニバイト,商売が好きな人,反省して次に繋げる,スノーピークと契約,背景が違う人と話すこと, , , ,,, , ,0,, 
森,23021190,ポジティブな塞翁が馬,商社はいろんなことをグローバルに行う。,社会学部は経済などいろんなことを包括して学べる。,自分自身が社会を知らないといけないと思い就活を始めた。,身の回りを整頓しておりいたり、休憩を適度にとることは、アイデアを出すために重要である。, , , ,,, , ,0,, 
森,23021195,大学からの情報発信をしっかり受けるのは大事。,忙しい忙しいっていう人は心を失っている。,自分のことと相手のことを知る姿勢が大事。,仕事で必要とされるのは対話。,何かを成し遂げた人はあきらめなかった人。, , , ,,, , ,0,, 
森,23021200,その年から導入の飛び級,忙しい時こそ周りを見る,海外の人との話し方,海外の人から信頼されてトレードをしてもらえる,たくさんある情報の中で整理して自分に合う情報を見つける, , , ,,, , ,0,, 
森,23021210,自分のキャリア選択の際には何の仕事・業界が自分に合っているのか実際に足を運んで考えることが大切だ。,小林さんは自身の勤めている会社のことを「風通しのいい会社です。」と断言されていた。,少し力を抜いて周りをみる余裕を持つことで物事がいいように進んでいく。,まず自分を知るそして相手を知る、そうすると相手のバックグラウンドを理解でき、お互いにいい商売ができる,前向きな塞翁が馬, , , ,,, , ,0,, 
森,23021213,心の余裕がないと周りが見えなくなり仕事が回らなくなる。,大学からのお知らせや情報に耳を傾ける。,塞翁が馬。あまりくよくよしていても仕方がない。,自分と相手のことをよく理解することは大切である。,英語の勉強はしておくべきである。, , , ,,, , ,0,, 
森,23021236,心のキャパシティを持つ,人との関わり,自分と相手は違う,商売は社会のためにならないと続かない,自然と生きる, , , ,,, , ,0,,再履修
森,23021241,社会のためになる商売,心のキャパシティー,自分のことを知る,前向きな「人間万事塞翁が馬」,真理は汝らに自由を得さすべし, , , ,,, , ,0,, 
森,23021243,情報を自ら取集する,人として成長する,求められるスキルや知識を増やす,周りへの気配り,自分や人間そのものの特徴を自覚する, , , ,,, , ,0,, 
森,23021255,情報をうまくキャッチする,自分と相手のことを知る,心の余裕を持つ,自分なりの気分転換を確立する,前向きな塞翁が馬, , , ,,, , ,0,,再履修
森,23021266,会社と会社をつないで全体をふかんしながらアイデアを出す。,とりあえずやってみるという力がつく。,就活は自分が主体的にやるのが一番。,仕事で大切なのは会話。,成功体験として自分を知る。, , , ,,, , ,0,,再履修
森,23021282,どのような形でもお客さんや仕入れ先の人に喜んでいただいて社会を良くしていくのが商社である。,心の余裕を無くすと、仕事が回らない。,どんなに忙しくても、心のキャパシティを持つ。,関わる人が喜んでもらえる、それが仕事のやりがい。,反省はして、その上ですぐ立ち上がる。, , , ,,, , ,0,, 
森,23021283,心のキャパシティ,180社,商社,前向きな塞翁が馬,ファイナンス, , , ,,, , ,0,, 
森,23021285,お客様や社会のためになることを一緒になって考えて商売を作るコンサルのようなイメージ,体の余裕を無くすよりも心の余裕を無くす方が仕事に影響が出る。,前向きな塞翁が馬,仕事で必要とされるのは対話であり、背景が異なる人と言葉を交わす能力が今後必要とされる。,カナダにいた経験が国際経験の豊かさとして評価され、仕事に招かれる有力な手段であった。, , , ,,, , ,0,, 
森,23021287,前向きな塞翁が馬,どんなに忙しくても心に余裕を持つ。,人との交流,自分のことを知り、相手のことも知る。,嫌なことはずっと続くものではない。, , , ,,, , ,0,, 
森,23021288,大学からの情報発信をキャッチする。,どんなに忙しくても心の余裕はある程度持ってないといけない。,社会が求めているのはたくさんの人と対話する能力。,人間万事塞翁が馬、前向きな塞翁が馬。,商売は社会のためにならないと続かない。, , , ,,, , ,0,,再履修
森,23021289,発信されている情報はキャッチしていくことが大切である自分達は情報を見過ごしがちであることを自覚する,どんなに忙しくても心のキャパシティ(ゆとり)を持つことが大切である,外の目をもって周りと相手を見ることが大切である,考え方は異なるという前提を持ち自分と相手を知ろうとする姿勢が大切である,前向きな塞翁が馬, , , ,,, , ,0,, 
森,23021293,心の余裕忙しさから心の余裕がなくなり、周りが見えなくなると、ちょっとした気遣いもできなくなる。,会話ではなく対話が必要相手の信頼を得るためには心を通じ合わせる対話が大事である。,何百社も吟味して、自分に合った業界、職種を見つけることが大切。,情報を得るために、小さなメディア（張り紙）なども活用する。,前向きな塞翁が馬何事もくよくよしすぎず、前向きに捉える。, , , ,,, , ,0,, 
森,23021295,心の余裕,自分の状態を自覚する,自分と相手の違いを知る,気分転換,前向きな塞翁が馬, , , ,,, , ,0,, 
