"回答日時","受付番号","回答ユーザ","第３回:キーワード①","第３回:キーワード②","第３回:キーワード③","第３回:キーワード④","第３回:キーワード⑤"
"2022/04/26 22:56","1694","24021743","やると決めたら楽しむ","努力しない限り得られるものない（お金を含め）","来た波に乗る","弁護士という職業は社会の役に立っていることが直接体験できる","弁護士の仕事は第三者的に全力をつくすこと"
"2022/04/26 22:56","1692","23020532","俯瞰的に見る","自分の現状に満足しない","来た波には乗る","やると決めたら楽しむ","周りに振り回されない力"
"2022/04/26 22:56","1693","22021054","やると決めたら楽しむ","伸びしろ","真剣勝負","人の役に立てる","信頼関係"
"2022/04/26 22:52","1691","29021428","やると決めたら楽しむ","必死に打ち込む","受けた依頼は断らない","来た波には乗る","努力しない限り得られるものはない"
"2022/04/26 22:50","1690","25021244","法学部＝弁護士ということではない。 司法試験の勉強は大変だが、 やると決めたことは楽しむと決めること！とおっしゃっていた事。","大人になって色々な経験を重ねるごとに自分のちっぽけさを感じる時がある。新人の時代から自分で考えて行動することの大切さ。新人の時代から色々仕事を任せてくる上司。そういった上司との 巡り合いもひとつの縁。そういった縁を大事にすること。","実績→信頼→自信の＋のスパイラル","波がきたら、確実に乗る。 今まで支えてくださった方の為にも、全力で期待に応える。","やりきる力や持続力は自分の意志次第。 そういった意志は楽しむことでコントロール出来ること。"
"2022/04/26 22:49","1689","24021017","知らないからこそ怖いものは何もない","やると決めたら楽しむ","第三者的視点を持つ","法律問題は決断の連続","自分で考えて行動することは自分を成長させる"
"2022/04/26 22:49","1688","26022025","やると決めたらとことん楽しむ","第三者的視点がないと正しい判断ができない","来た波には否定的に考えるかもしれないが、乗ってみるといい","一つ一つの仕事は真剣勝負","→信頼→自信になる"
"2022/04/26 22:48","1687","24021534","やると決めたら楽しむ","知らないことは興味深いこと","波が来たら乗る","ずっと変化に楽しめる力は必要","好奇心を持って色んなところに足を運ぶべきである"
"2022/04/26 22:47","1686","24022171","専門分野とは、自分が好きなものを宣言するものだ","やると決めたら楽しむ","自分のことをちっぽけだと思い始めるのが大人への第一歩","自信は、何か実績を上げることによって周囲の信頼を得てつくものである。これの繰り返しがキャリアの正のスパイラル","今はいろんな事柄がネットで調べれるけど好奇心を持っていろんな経験をしてそれを体験にするべき"
"2022/04/26 22:46","1685","24021804","知らなければ怖いものはない","やると決めたら楽しむ","弁護士の仕事は第三者的立場から見ること","依頼者の決断が鈍るのはこちらの説明が十分でないとき","来た波には乗る"
"2022/04/26 22:46","1684","25022448","大人になると｢自分がちっぽけ｣だと思うようになる。","波が来たら乗る。","実績→信頼→自信という正のスパイラルを意識する。","やると決めたら楽しむ。","裁判で一番労力を使うのは書面作り。"
"2022/04/26 22:45","1683","26021306","やると決めたら楽しむ","自分の存在をちっぽけに感じるようになった時は大人の始まりである","自分で考えて自分で行動する","波が来たら乗る","実績を上げることによって周囲から信頼を得られると自信につながり、また、実績も上がる"
"2022/04/26 22:44","1682","24020773","「やる」と決めたら楽しむ。","人生で初めての上司の性格はどうか。上司の性格、関係を見極める。","教育と弁護士は違う。理論と実務には差がある。","弁護士には説明と説得が必要。説明と説得は決断するのに必要。法律業務は決断の連続。","弁護士はただ法律の知識を持っているだけの人で、起業もできたり、政治家にもなれたりする。"
"2022/04/26 22:44","1681","25020375","やると決めたら楽しむ","第三者的視点を持つ必要がある","来た波にはのる","努力しないと得られるものはない","目の前のことに全力で取り組む"
"2022/04/26 22:43","1680","37021512","やると決めたことは、楽しんでやる","好奇心を持って色々な経験をする","今の自分に満足せず、成長していく","来た波に乗ることで新しい何かが始まることもある","努力しないと得られるものはない"
